dbtimestamp,soil_moisture,soil_ph,soil_ec,soil_nitrogen,soil_phosphorus
2025-05-14 06:22:33.575119,15.6,3.4,171.0,0.0,39.0
2025-05-14 06:23:16.575567,17.8,6.1,171.0,0.0,39.0
2025-05-14 06:23:53.028696,16.9,6.2,171.0,0.0,39.0
2025-05-14 06:24:29.592199,16.2,6.2,171.0,0.0,39.0
2025-05-14 06:25:06.060400,15.7,6.3,171.0,0.0,39.0
2025-05-14 06:25:42.397771,17.0,6.3,171.0,0.0,39.0
2025-05-14 06:26:18.949023,16.9,6.2,171.0,0.0,39.0
2025-05-14 06:26:56.231173,15.6,6.2,171.0,0.0,39.0
2025-05-14 06:27:32.575662,16.2,6.2,172.0,0.0,40.0
2025-05-14 06:28:09.042185,16.2,6.2,171.0,0.0,39.0
2025-05-14 06:28:46.411747,16.9,6.2,171.0,0.0,39.0
2025-05-14 06:29:22.873806,17.6,6.3,171.0,0.0,39.0
2025-05-14 06:29:59.338592,17.7,6.3,171.0,0.0,39.0
2025-05-14 06:30:35.894756,16.2,6.1,171.0,0.0,39.0
2025-05-14 06:31:12.252145,15.6,6.1,171.0,0.0,39.0
2025-05-14 06:31:48.601195,15.4,6.1,171.0,0.0,39.0
2025-05-14 06:32:24.957620,16.9,6.0,171.0,0.0,39.0
2025-05-14 06:33:01.303499,17.8,6.0,171.0,0.0,39.0
2025-05-14 06:33:37.855425,16.3,5.9,171.0,0.0,39.0
2025-05-14 06:34:14.322297,16.2,5.9,171.0,0.0,39.0
2025-05-14 06:34:50.668946,17.6,5.8,171.0,0.0,39.0
2025-05-14 06:35:27.133144,17.6,5.8,171.0,0.0,39.0
2025-05-14 06:36:03.690477,15.6,5.9,171.0,0.0,39.0
2025-05-14 06:36:40.148525,16.2,5.9,171.0,0.0,39.0
2025-05-14 06:37:16.497846,18.1,6.0,170.0,0.0,39.0
2025-05-14 06:37:53.261379,15.6,6.1,171.0,0.0,39.0
2025-05-14 06:38:29.721187,15.7,6.1,171.0,0.0,39.0
2025-05-14 06:39:06.173807,17.6,6.1,171.0,0.0,39.0
2025-05-14 06:39:42.527004,18.7,6.0,171.0,0.0,39.0
2025-05-14 06:40:19.092697,17.6,6.0,171.0,0.0,39.0
2025-05-14 06:40:55.636811,15.4,6.0,170.0,0.0,39.0
2025-05-14 06:41:32.089558,17.0,5.9,171.0,0.0,39.0
2025-05-14 06:42:08.546654,15.6,6.0,171.0,0.0,39.0
2025-05-14 06:42:45.011034,15.6,6.0,172.0,0.0,40.0
2025-05-14 06:43:22.372313,15.7,6.0,171.0,0.0,39.0
2025-05-14 06:43:58.830733,17.6,5.9,171.0,0.0,39.0
2025-05-14 06:44:35.281047,15.6,5.9,171.0,0.0,39.0
2025-05-14 06:45:11.728993,15.6,5.9,171.0,0.0,39.0
2025-05-14 06:45:48.085834,15.6,5.8,171.0,0.0,39.0
2025-05-14 06:46:24.542232,15.6,5.9,172.0,0.0,40.0
2025-05-14 06:47:00.896243,18.1,5.9,171.0,0.0,39.0
2025-05-14 06:47:37.345349,16.2,5.9,171.0,0.0,39.0
2025-05-14 06:48:13.698074,16.2,5.8,172.0,0.0,40.0
2025-05-14 06:48:50.156737,17.0,5.9,171.0,0.0,39.0
2025-05-14 06:49:26.709780,18.7,6.0,172.0,0.0,40.0
2025-05-14 06:50:03.169334,17.0,6.1,172.0,0.0,40.0
2025-05-14 06:50:39.519631,17.0,6.1,172.0,0.0,40.0
2025-05-14 06:51:15.881103,16.9,6.1,172.0,0.0,40.0
2025-05-14 06:51:52.236106,16.9,6.1,171.0,0.0,39.0
2025-05-14 06:52:28.776058,16.9,5.9,172.0,0.0,40.0
2025-05-14 06:53:05.240240,17.8,5.9,172.0,0.0,40.0
2025-05-14 06:53:41.686603,17.0,6.0,172.0,0.0,40.0
2025-05-14 06:54:18.153993,17.8,6.0,171.0,0.0,39.0
